First Name,Last Name,Email,Country Code,Phone,Customer Address,Total Booking,Cancelled Booking,Total Amount Spent,Last Booking At,Status,Reason
"gulshan","kumar","gu@mailinator.com","1","8563247854","Mohawk, NY 13407, USA",0,0,0,"",TRUE,""
"gulshan","kumar","g@mailinator.com","1","2548698524","New York, NY, USA",0,0,0,"",TRUE,""
"","","gulshan110@yopmail.com","1","5236498754","",0,0,0,"",TRUE,""
"gulshan","kumar","gulshan109@yopmail.com","1","2365478962","Moab, UT 84532, USA",0,0,0,"",TRUE,""
"gulshan","kumar","gulshan108@yopmail.com","1","2147589633","New Delhi, Delhi, India",0,0,0,"",TRUE,""
"","","admin123@yopmail.com","91","9783421764","",0,0,0,"",TRUE,""
"gulshan","kumar","gulshan107@yopmail.com","1","2546868754","73, LIG Housing Board, Sector 52, Chandigarh, 160059, India",0,0,0,"",TRUE,""
"","","anshu@apptunix.com","91","7970702831","",0,0,0,"",TRUE,""
"","","gulshan106@yopmail.com","1","2365478965","",0,0,0,"",TRUE,""
"","","gulshan105@yopmail.com","1","2365589888","",0,0,0,"",TRUE,""
